"label","cleaned_text"
"normal","ok, i am watching here."
"normal","is that seriously how you spell his name?"
"normal","i‘m going to try for 2 months,ha ha only joking."
"normal","did you catch the bus? are you frying an egg? did you make a tea? are you eating your mom's left over dinner? do you feel my love ?"
"normal","i am back &amp; we are packing the car now, i will let you know if there is room."
"normal","hello! how is you and how did saturday go? i was just texting to see if you would decided to do anything tomo. not that i am trying to invite myself or anything!"
"normal","please go ahead with watts. i just wanted to be sure. do have a great weekend. "
"normal","ok tell me anything about you."
"normal","you do not know how stubborn i am. i did not even want to go to the hospital. i kept telling mark i am not a weak sucker. hospitals are for weak suckers."
"normal","what you thinked about me. first time you saw me in class."
"normal","do you know what mallika sherawat did yesterday?"
"fraud","congrats! 1 year special cinema pass for 2 is yours. do not miss out! "
"normal","sorry, i will call later in meeting."
"normal","tell where you reached."
"normal","yes..gauti and sehwag out of odi series."
"normal","your going to have to pick up a $1 burger for yourself on your way home. i cannot even move. pain is killing me."
"normal","ha ha ha good joke. girls are situation seekers."
"normal","its a part of checking iq."
"normal","sorry my roommates took forever, it is ok if i come by now?"
"normal","i plan to give on this month end."
"normal","wah lucky man... then can save money... hee..."
"normal","finished class where are you."
"fraud","hi babe i am at home now want to do something? xxx"
"normal","ok, where are you? how did you performed?"
"normal","you can call me now..."
"normal","i am waiting machan. call me once you free."
"normal","that is cool. i am a gentleman and will treat you with dignity and respect."
"normal","i like you peoples very much. but i am very shy pa."
"normal","does not operate after  &lt;#&gt;  or what"
"normal","it is not the same here. still looking for a job. how much do you earn there."
"normal","sorry, i will call later."
"normal","ok. did you call me just now? "
"normal","ok i am on the way to home."
"normal","you will be in the place of that man."
"normal","yup next stop."
"normal","i call you later, do not have network. if urgent, sms me."
"normal","for real when you getting on you? i only need 2 more tickets and one more jacket and i am done. i already used all my multis."
"normal","yes i started to send requests to make it but pain came back so i am back in bed. double coins at the factory too. i got to cash in all my nitros."
"normal","i am really not up to it still tonight babe"
"normal","come when you are free."
"normal","watching telugu movie. what about you?"
"normal","i see. when we finish we have loads of loans to pay."
"normal","does that because prob for you?"
"normal","i see a cup of coffee animation."
"normal","please do not text me anymore. i have nothing else to say."
"normal","okay name your price as long as its legal! when can i pick them up?"
"normal","i am still looking for a car to buy. and have not gone fourth driving test yet."
"normal","as per your request 'balle balle' has been set as your callertune for all callers. press *9 to copy your friends callertune"
"normal","wow. you are right! i did not mean to do that. i guess once i gave up on boston men and changed my search location to nice, something changed. because on my signin page it still says boston."
"normal","umma my life and vava umma love you lot dear"
"normal","thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable."
"normal","all right, i will hit you up when i get some cash"
"normal","how would my ip address test that considering my computer is not a minecraft server"
"normal","i know! grumpy old people. my mom was like you better not be lying. then again i am always the one to play jokes..."
"normal","do not worry. i guess he is busy."
"normal","what is the plural of the noun research?"
"normal","going for dinner. message you after."
"normal","i am ok with it because i like to try new things. but i scared you done like me. because you said not too loud. "
"normal","hmm, my uncle just informed me that he is paying the school directly. so please buy food."
"fraud","your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires"
"fraud","your mobile no. was awarded 2000 inr bonus caller prize on 5/9/0021 this is our final try to contact you! download xyz application to get it."
"normal","here is my new address -apples&pairs&all that malarky"
"fraud","todays vodafone numbers ending 7548 are selected to receive a $350 award. if you have a match please call 08712300220 quoting claim code 4041 standard rates app"
"normal","i am going to sao mu today. will be done only at 12 "
"normal","you predict what time you will finish buying?"
"normal","good stuff, will do."
"normal","just so that you know, ram has not sent money yet. i just sent her a text not to bother sending. so its over, you do not have to involve yourself in anything. i should not have imposed anything on you in the first place so for that, i apologise."
"normal","are you there in room."
"normal","hey girl. how are you? hope you are well me and ram are back! again long time no see! give me a call sum time from lucy"
"normal","ok, how much does it cost?"
"normal","i am home."
"normal","dear, will call tomorrow. please accomodate."
"normal","first answer my question."
"fraud","sunshine quiz weekly quize! win a top sony dvd call 789654123."
"normal","he is there. you call and meet him."
"normal","no no. i will check all rooms before activities."
"normal","got see... i lazy to type... i forgot you in lecture... i saw a pouch but like not very nice..."
"normal","ok, text me when you are on the way"
"normal","sir, waiting for your mail."
"normal","a sweet thought: ""never get tired of doing little things for lovable persons.."" because..somtimes those little things occupy the biggest part in their hearts.. good night"
"normal","i know you are. can you please open the back?"
"normal","yes see you not on the dot."
"normal","what is the staff name who is taking class for us?"
"normal","ummma.will call after check in.our life will begin from qatar so please pray very hard."
"normal","ok..i deleted my contact that why?"
"normal","sindu got job in birla soft .."
"normal","the wine is flowing and i have nevering.."
"normal","yup i think cine is better cos no need to go down to plaza."
"normal","ok... your typical reply..."
"normal","as per your request 'melle melle' has been set as your callertune for all callers. press *9 to copy your friends callertune"
"normal","you are everywhere dirty, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
"normal","all right are you at work?"
"normal","i am leaving my house now."
"normal","hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?"
"fraud","customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery"
"fraud","you are a winner you have been specially selected to receive £1000 cash or a 4* holiday (flights inc) speak to a live operator to claim 0871277810810"
"normal","keep yourself safe for me because i need you and i miss you already and i envy everyone that see's you in real life"
"normal","new car and house for my parents.i have only new job in hand:)"
"normal","i am so in love with you. i am excited each day i spend with you. you make me so happy."
"normal","i place all your points one cultures module already."
"normal","hi friend, which is best way to avoid missunderstding with our beloved one's?"
"normal","great escape. i fancy the bridge but needs her lager. see you tomarrow."
"normal","yes :)it completely in out of form:)clark also utter waste."
"fraud","sir, i need axis bank account number and bank address."
"normal","hmmm.. thanks sure got time to hope ard... you, can go for free about... muz call you to discuss liao... "
"normal","what time you coming down later? "
"normal","bloody hell, cannot believe you forgot my surname mr . i will give you a clue, its spanish and begins with m... "
"normal","well, i am going to finish my bath now. have a good...fine night."
"normal","let me know when you have got the money so carlos can make the call"
"normal","you still going to the mall?"
"normal","turns out my friends are staying for the whole show and will not be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
"normal","text her. if she does not reply let me know so i can have her log in"
"normal","hi! you just spoke to maneesha . we would like to know if you were satisfied with the experience. reply toll free with yes or no."
"normal","you lifted my hopes with the offer of money. i am in need. especially when the end of the month approaches and it hurts my studying. anyways have a great weekend"
"normal","you can trust me."
"normal","ok. i am a gentleman and will treat you with dignity and respect."
"normal","he will, you guys close?"
"normal","going on nothing great.bye"
"normal","hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where is my boytoy now ? does he miss me ?"
"normal","haha awesome, be there in a minute"
"fraud","please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed 1000 rupees cash or £5000 prize!"
"normal","have you got xmas radio times. if not i will get it now"
"normal","i just reached home. i go bathe first. but my sister using net tell you when she finishes k..."
"normal","are you unique enough? find out from 30th august. www.areyouunique.co.uk"
"normal","i am sorry. i have joined the league of people that do not keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week."
"normal","hi :)finally i completed the course:)"
"normal","it will stop on itself. i however suggest she stays with someone that will be able to give ors for every stool."
"normal","how are you doing? hope you have settled in for the new school year. just wishing you a great day"
"normal","good morning dear hav a nice day."
"normal","did you got that persons story."
"normal","is your hamster dead? hey so tommaro i meet you at 1pm orchard mrt? "
"normal","hi it is kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! text back if you can. :)"
"normal","found it, enc  &lt;#&gt; , where you at?"
"normal","i sent you  &lt;#&gt;  bucks"
"normal","hello darlin i have finished college now so text me when you finish if you can love kate xxx."
"normal","your account has been refilled successfully by inr  &lt;decimal&gt; . your keralacircle prepaid account balance is rs  &lt;decimal&gt; . your transaction id is kr &lt;#&gt; ."
"normal","goodmorning sleeping ram."
"normal","you call me alter at 11 ok."
"normal","you say untill like dat i done buy ericsson oso cannot oredi lar..."
"normal","as i entered my cabin my pa said, '' happy b'day boss !!''. i felt special. she askd me 4 lunch. after lunch she invited me to her apartment. we went there."
"normal","aight yo, dats straight dogg"
"normal","you please give us connection today itself before  &lt;decimal&gt;  or refund the bill"
"normal","both, i shoot big loads so get ready!"
"normal","what is up bruv, hope you had a great break. do have a rewarding semester."
"normal","home so we can always chat"
"normal","ok good:)study well."
"normal","yup... how you noe leh..."
"normal","sounds great! are you home now?"
"normal","finally the match heading towards draw as your prediction."
"normal","tired. i have not slept well the past few nights."
"normal","easy ah?sen got selected means its good.."
"normal","i have to take exam with march 3"
"normal","yeah you should. i think you can use your gt atm now to register. not sure but if there is anyway i can help let me know. but when you do be sure you are ready."
"normal","ok no prob. take your time."
"normal","there is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop.."
"normal","sorry, i will call later."
"normal","life is more strict than teacher... because teacher teaches lesson &amp; then conducts exam, but life first conducts exam &amp; then teaches lessons. happy morning. . ."
"normal","dear good morning now only i am up."
"normal","get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right."
"normal","dear we are going to our rubber place."
"normal","sorry battery died, yeah i am here."
"normal","yes:)here tv is always available in work place."
"normal","i have printed it oh. so  &lt;#&gt;  come upstairs"
"normal","or ill be a little closer like at the bus stop on the same street"
"normal","where are you? when wil you reach here?"
"normal","new theory: argument wins d situation, but loses the person. so do not argue with your friends just. kick them &amp; say, i am always correct.!"
"normal","tomarrow final hearing on my laptop case so i cannot."
"normal","please tell me, you want done sportsx"
"normal","okay. no no, just shining on. that was meant to be signing, but that sounds better."
"normal","although i told you that i am into big face watches now but i really like e watch you gave because it is from you. thanks for everything that you have done today, i am touched..."
"normal","you do not remember that old commercial?"
"normal","too late. i said i have the website. i did not i have or do not have the slippers."
"normal","i asked you to call him now ok."
"normal","kallis will not bat in 2nd innings."
"normal","it did not work again oh. ok goodnight then. i will fix and have it ready by the time you wake up. you are very dearly missed have a good night sleep."
"fraud","congratulations you are awarded 500 of cd vouchers or 125gift guaranteed & free entry to 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16"
"normal","ranjith cal drpd deeraj and deepak five min hold."
"normal","when yor are lovable became angry wid you, do not take it seriously.. because being angry is the most childish and true way of showing deep affection, care n love!.. kettoda manda... have nice day da."
"normal","what you doing?how are you?"
"normal","ups which is three days also, and the shipping company that takes two weeks. the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
"normal","i am back, let me know when you are ready."
"normal","do not necessarily expect it to be done before you get back though because i am just now heading out."
"normal","mmm so yummy babe ... nice jolt to the suzy."
"normal","where are you lover? i need you."
"fraud","we tried to contact you are your reply to our offer of a video handset? 750 anytime networks mins? unlimited text? camcorder?"
"normal","i‘m parked next to a mini!!!! when are you coming in today do you think?"
"normal","yup"
"normal","anyway i am going shopping on my own now. because my sister not done yet. do not disturb you liao."
"normal","my no. in luton 0125698789 ring me if your around!"
"fraud","hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698."
"normal","why you did not come with us."
"normal","same. wana plan a trip sometime then."
"normal","not sure yet, still trying to get a hold of him."
"fraud","your ringtone service has changed! 25 free credits! go to club4mobiles.com to choose content now! stop? "
"normal","the evo. i just had to download flash. jealous?"
"fraud","ringtone club: get the uk singles chart on your mobile each week and choose any top quality ringtone! this message is free of charge."
"normal","come to me, we are sorting out our narcotics situation."
"normal","night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay."
"normal","useful i guess, might as well take one car."
"normal","no objection. my boyfriend not coming."
"normal","thanx..."
"normal","tell rob to mack his girlfriend in the theater."
"normal","awesome, i will see you in a bit."
"normal","just sent it. so what type of food do you like?"
"normal","all done? all handed in? celebrations in full swing yet?"
"normal","you got called a tool?"
"normal","when you miss someone, the person is definitely special for you. but if the person is so special, why to miss them, just keep-in-touch good evening."
"normal","ok. i asked for money how far."
"normal","ok."
"normal","yeah i think my usual guy's still passed out from last night, if you get ahold of anybody let me know and i will throw down"
"normal","ok, i might come by to night then if my class let us out early."
"normal","hi baby i am cruisin with my girl friend what are you up to? give me a call in and hour at home if that is alright or fone me on this fone now love jenny xxx."
"normal","my life means a lot to me, not because i love my life, but because i love the people in my life, the world calls them friends, i call them my world."
"normal","dear,shall mail to night.busy in the street,shall update you tonight.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
"normal","hey you told your name to gautham ah?"
"normal","you found him? i feel so stupid."
"normal","oops. for got that bit."
"normal","are you this much buzy."
"normal","i accidentally deleted the message. resend please."
"normal","unless it is a situation where you go gurl would be more appropriate"
"normal","hurt me.tease me.make me cry... but and the end of my life when i die please keep one rose on my grave and say stupid i miss you.. have a nice day."
"normal","i cannot pick the phone right now. please and a message"
"normal","need a coffee run tomo?cannot believe it is that time of week already"
"normal","awesome, i remember the last time we got somebody high for the first time with diesel."
"normal","shit that is really shocking and scary, can not imagine for a second. define up for night out. do you think there is somewhere i could crash for night, save on taxi?"
"normal","oh and by the way you do have more food in your fridge! want to go out for a meal tonight? "
"normal","he is a wondarfull actor."
"normal","yup... from what i remb... i think should be can book... "
"normal","just ask if you want to meet up?"
"normal","lol yes. our friendship is hanging on a thread because you will not buy stuff."
"fraud","themob> check out our newest selection of content, games, tones, gossip, babes and sport, keep your mobile fit and funky text wap to 82468."
"normal","where are the garage keys? they are not on the bookshelf."
"normal","today is accept day. accept me as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy"
"fraud","think your smart? win £200 this week in our weekly quiz, text play to 85222 now!t&cs winnersclub po box 84, m26 3uz. 16+. gbp1.50/week"
"normal","he says he will give me a call when his friend's got the money but that he is definitely buying before the end of the week."
"normal","hi the way i was with you to day, is the normal way&this is the real me. you are unique&i hope i know you for the rest of mylife. hope you find will not was lost."
"normal","you made my day. do have a great day too."
"normal","ok advance happy pongal."
"normal","hmmm... guess we can go for kb and power yoga.haha, do not know we can tahan power yoga another... thanks got loose, forgot."
"normal","not really dude, have no friends i am afraid."
"normal","coffee cake, i guess."
"normal","merry christmas to you too babe, i love you *kisses*."
"normal","hey... why do not we just go watch x-men and have lunch... haha. "
"normal","could you tell people i am going to be a bit late because to buses have gone past because they were full & i am still waitin 4 1. pete x."
"normal","that would be great. we will be at the guild. could meet on bristol road or somewhere - will get in touch over weekend. our plans take flight! have a good week"
"normal","no problem. how are you doing?"
"normal","no calls..messages..missed calls."
"normal","hi da:)how is the todays class?"
"normal","i would say that is a good sign but, well, you know my track record at reading women."
"normal","cool, text me when you are parked."
"normal","i am reading the text i just sent you, it is meant to be a joke. so read it in that light."
"normal","maybe i could get book out tomorrow then return it immediately ..? or something."
"fraud","valentines day special! win over £1000 in our quiz and take your partner on the trip of a lifetime! send go to 83600 now. 150p/message received. custcare:08718720201."
"normal","ta-daaaaa! i am home babe, are you still up ?"
"normal","cool. so how come you have not been wined and dined before?"
"normal","just sleeping..and surfing."
"normal","you calling me right? call my hand phone..."
"normal","ok that is great thanks a lot."
"normal","i take it the post has come then! you must have 1000s of texts now! happy reading. my one from wiv hello caroline at the end is my favourite. bless him"
"normal","where you been hiding stranger?"
"normal","am not interested to do like that."
"normal","my sister cleared two round in birla soft yesterday."
"normal","good night....take...practice going on."
"normal","this is yijue. i just saw your mail. in case huiming have not sent you my number. this is my number."
"normal","one small prestige problem now."
"normal","just checking in on you. really do miss seeing jeremiah. do have a great month."
"normal","no cannot help you there, i have never had an iphone."
"normal","if you are not in my car in an hour and a half i am going apeshit."
"normal","today is sorry day.! if ever i was angry with you, if ever i misbehaved or hurt you? please please just slap youself because, its your fault, i am basically good."
"normal","yo you guys ever figure out how much we need for alcohol? jay and i are trying to figure out how much we can safely spend on weed."
"normal","&lt;#&gt; ish minutes was five minutes ago. wtf."
"normal","thank you for calling.forgot to say happy onam to you sirji.i am fine here and remembered you when i met an insurance person.meet you in qatar insha allah.rakhesh, ex tata aig who joined tissco,tayseer."
"fraud","congratulations you are awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16"
"fraud","you are cash-balance is currently 500 inr - to maximize your cash-in now send cash to 86688 only 150p/message. cc: 08708800282 hg/suite342/2lands row/w1j6hl"
"normal","i am an actor. when i work, i work in the evening and sleep late. since i am unemployed at the moment, i always sleep late. when you are unemployed, every day is saturday."
"normal","hello! just got here, st andrews-boy its a long way! its cold. i will keep you posted."
"normal","ha ha cool cool chikku chikku."
"normal","oh ok no prob.."
"normal","check audrey's status right now."
"normal","busy here. trying to finish for new year. i am looking forward to finally meeting you."
"normal","good afternoon sunshine! how dawns that day ? are we refreshed and happy to be alive? do we breathe in the air and smile ? i think of you, my love ... as always"
"normal","well i know z will take care of me. so no worries."
"normal","cool, text me when you are ready."
"normal","hello my boytoy. geeee i miss you already and i just woke up. i wish you were here in bed with me, cuddling me. i love you ..."
"normal","i will spoil you in bed as well."
"normal","i am going for bath will message you next  &lt;#&gt;  min.."
"normal","i cannot keep talking to people if am not sure i can pay them if they agree to price. so please tell me what you want to really buy and how much you are willing to pay."
"fraud","thanks for your ringtone order, reference t91. you will be charged gbp 4 per week. you can unsubscribe at anytime by calling customer services on 09057039994."
"normal","can you say what happend."
"normal","you could have seen me..i did't recognise you face."
"normal","well there is not a lot of things happening in lindsay on new years *sighs* some bars in ptbo and the blue heron has something going"
"normal","keep my payasam there if rinu brings."
"normal","i taught that ranjith sir called me. so only i sms like that. becaus hes verifying about project. prabu told today so only pa do not mistake me.."
"normal","i guess that is why you re worried. you must know that there is a way the body repairs itself. and i am quite sure you should not worry. we will take it slow. first the tests, they will guide when your ovulation is then just relax. nothing you have said is a reason to worry but i.ll keep on followin you up."
"normal","yeah sure, give me a couple minutes to track down my wallet."
"normal","hey leave it. not a big deal. take care."
"normal","hey i will be late ah... meet you at 945+."
"fraud","double mins and texts for six months free bluetooth on orange. available on sony, nokia motorola phones. call mobileupd8 on 08000839402 or call2optout/n9dx"
"normal","it took mr owl three licks."
"normal","customer place i will call you."
"normal","mean that time you do not like fun."
"fraud","four months half price orange line rental & latest camera phones 4 free. had your phone 11mths ? call mobilesdirect free on 08000938767 to update now."
"normal","yup having my lunch buffet now.you eat already?"
"normal","huh so late... for dinner?"
"normal","hey so this sat are we going for the intro pilates only? or the kickboxing too? "
"normal","morning only i can ok."
"normal","yes i think so. i am in office but my lap is in room i think that is on for the last few days. i did not shut that down."
"normal","pick you up bout 7.30ish? what time are  and that going?"
"normal","from here after the performance award is calculated every two month.not for current one month period.."
"normal","was actually sleeping and still might when you call back. so a text is great. you rock sister. will send you a text when i wake."
"normal","you are always putting your business out there. you put pictures of your ass on facebook. you are one of the most open people i have ever met. why would i think a picture of your room would hurt you, make you feel violated."
"normal","good evening sir, al salam wahleykkum.sharing a happy news.by the grace of god, i got an offer from tayseer,tissco and i joined.hope you are fine.inshah allah,meet you sometime.rakhesh,visitor from india."
"normal","hmmm...ok...but i want to change the field quickly da:-)i want to get system administrator or network administrator.."
"normal","dear how is chechi. did you talk to her."
"normal","the hair cream has not been shipped."
"normal","none of that is happening til you get here though."
"normal","yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour."
"normal","haha get used to driving to usefull man, i know a lot of stoners."
"normal","all was well untill slightly disastrous class this pm with my favorite darlings! hope day off ok. coffee would be good as cannot stay late tomorrow. same time + place as always?"
"normal","hello! good week? fancy a drink or something later?"
"normal","because i want it to be your thing."
"normal","okies... i will go yan jiu too... we can skip ard oso, go cine den go mrt one, blah blah blah... "
"normal","bring home some wendy."
"normal","what is up there. do not you want to sleep."
"normal","alright i have a new goal now."
"fraud","free entry into our £250 weekly competition just text the word win to 80086 now. 18 t&c www.txttowin.co.uk"
"normal","alright, i will head out in a few minutes, text me where to meet you"
"fraud","send a logo your lover - two names joined by a heart. text love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo! pobox36504w45wq txtno 4 no ads 150p"
"normal","yes,from last week itself i am taking live call."
"fraud","someone has contacted our dating service and entered your phone because they fancy you! to find out who it is call from a landline 09111032124 . pobox12n146tf150p"
"normal","siva is in hostel aha:-."
"normal","send this to your friends and receive something about your voice..... how is my speaking expression? 1.childish 2.naughty 3.sentiment 4.rowdy 5.full of attitude 6.romantic 7.shy 8.attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me.."
"normal","ok. she will be ok. i guess."
"normal","aathi..where are you dear.."
"normal","any pain on urination any thing else?"
